glossaryID,use glossaryID,glossary term,,New term,termDefinition,courseID,courseName
969,910,Fixed-dose combination (FDC),,,"Tablets with 2-drug and 4-drug fixed-dose combinations that contain standard dosages in fewer tablets. These tablets are promoted by the Global TB Drug Facility (GDF) to simplify treatment, drug management, and logistics while promoting rational drug use and increasing patient compliance, thereby preventing drug resistance.",91,Tuberculosis – Advanced Concepts
295,,Fluctuant lesion,,,"A moveable and compressible infected or diseased area
",N	N,
298,,Fluctuant lesion,,,A moveable and compressible infected or diseased area,N	N,
112,,Forecasting,,,Management function that determines the quantities of products that a program will dispense to users for a specific period of time in the future.,9,Logistics for Health Commodities
3063,112,Forecasting,,,Management function that determines the quantities of products that a program will dispense to users for a specific period of time in the future.,145,Logistics Revision
611,,Foreign NGO,,,"For purposes of the Mexico City Policy, a foreign nongovernmental organization (NGO) is an NGO that is not organized under the laws of any State of the United States, the District of Columbia, or the Commonwealth of Puerto Rico.",39,Family Planning Legislative & Policy Requirements
1132,611,Foreign NGO,,,"A foreign nongovernmental organization (NGO) is an NGO that is not organized under the laws of any State of the United States, the District of Columbia, or the Commonwealth of Puerto Rico.",99,FP Legislative & Policy Requirements (Updated)
2377,611,Foreign NGO,,,"A foreign nongovernmental organization (NGO) is an NGO that is not organized under the laws of any State of the United States, the District of Columbia, or the Commonwealth of Puerto Rico.",132,US FP Requirements and Abortion Restrictions-2011
499,,Fortification (in relation to food),,,"The addition of a food substance (e.g., iron) to a food to enrich it

",53,Maternal Survival – Programming Issues
2629,499,Fortification (in relation to food),,,"The addition of a food substance (e.g., iron) to a food to enrich it

",137,Maternal Survival - Programming Issues (Updated)
1383,,Frenulum,,,An elastic web of tissue that connects the foreskin to the underside of the penis and helps contract the foreskin over the glans (head) of the penis. Similar to the membrane that connects the tongue to the floor of the mouth.,104,Male Circumcision for HIV Prevention: Field Test
2214,,Frenulum,,,An elastic web of tissue that connects the foreskin to the underside of the penis and helps contract the foreskin over the glans (head) of the penis. Similar to the membrane that connects the tongue to the floor of the mouth.,N	N,
2243,1383,Frenulum,,,An elastic web of tissue that connects the foreskin to the underside of the penis and helps contract the foreskin over the glans (head) of the penis. Similar to the membrane that connects the tongue to the floor of the mouth.,130,Male Circumcision: Policy & Programming
367,,Gametocyte,,,"A parasitic cell that has differentiated to take on either female or male characteristics, similar to an egg or sperm. Male and female gametocytes fuse in the mosquito gut to form a zygote. This is known as sexual reproduction. ",45,Malaria
2674,367,Gametocyte,,,"A parasitic cell that has differentiated to take on either female or male characteristics, similar to an egg or sperm. Male and female gametocytes fuse in the mosquito gut to form a zygote. This is known as sexual reproduction. ",138,Malaria (Updated)
315,,Gender,,,"Socially defined aspects of being male or female.  Gender roles refer to those activities considered by a given culture to be appropriate to a woman or a man.  When applied to human resources in health, gender refers to an understanding of the significance of gender in (1) employing people in the health sector workforce, (2) recognizing how gender affects occupational choices, career patterns and working practices and (3) considering the non-institutional care of the sick, usually carried out by female family members (see Gender Imbalance). (Dussault, 1999) 

World Health Organization, “Public Services International (PSI) Terms of Employment and Working Conditions in Health Sector Reforms: Points for discussion”, 2001 In Workshop on Global Health Workforce Strategy. Annecy, France, 9-12 December 2000. Retrieved 03/18/02. 

http://www.who.int/health-services-delivery/human/workforce/papers/PSI.pdf 

Moser C, Tornqvist A, Bronkhorst B, Mainstream gender and development in the World Bank: progress and recommendations, World Bank Report, Washington, DC, 1998 

(Source: World Bank)",N	N,
1066,,Gender,,,"The economic, social, political, and cultural attributes and opportunities associated with being women and men.  The social definitions of what it means to be women or men vary among cultures and changes over time.  Gender is a sociocultural expression of particular characteristics and roles that are associated with certain groups of people with reference to their sex and sexuality.",96,Gender and Sexual and Reproductive Health 101
1198,1066,Gender,,,Refers to the widely shared expectations and norms that govern what is appropriate male and female behavior. Gender is a culture-specific construct.,105,HIV Stigma and Discrimination
2445,1066,Gender,,,Roles in societies that are considered appropriate and expected for men and women.,110,Social and Behavior Change Communication
1081,,Gender Norms,,,"The learned, socially constructed ideals of appropriate behaviors, beliefs and attitudes for men and women, and boys and girls.",96,Gender and Sexual and Reproductive Health 101
1200,1081,Gender Norms,,,"What is considered to be appropriate behavior, beliefs, and attitudes for men and women as dictated by society.",105,HIV Stigma and Discrimination
1582,,Generalized HIV epidemic,,,The epidemic state in which HIV is firmly established in the general population. This epidemic state is characterized by an HIV prevalence that is consistently >1% in pregnant women.,118,HIV/AIDS Surveillance
2881,,Generalized HIV Epidemic,,Generalized HIV Epidemic -Youth,"A generalized epidemic refers to HIV transmission sustained by sexual behavior in the general population.  Women are disproportionately affected in a generalized epidemic.  Recent research indicates that young people account for 38 percent of new infections in South Africa, 29 percent of new infections in Kenya, and 23 percent of new infections in Uganda. 
",107,Youth Reproductive Health and HIV/AIDS
1950,,Geocodes,,,"Coded variables in a table of geographic data which indicate position, either at a point or within an area.  They can be codes indicating latitude/longitude coordinates or administrative areas. This is a coded version of a geographic identifier.",97,Test
2092,1950,Geocodes,,,"Coded variables in a table of geographic data which indicate position, either at a point or within an area. They can be codes indicating latitude/longitude coordinates or administrative areas. This is a coded version of a geographic identifier.",122,Geographic Approaches to Global Health
1951,,GeoDa,,,"GeoDa is a collection of software tools available from http://geodacenter.asu.edu/ designed to implement techniques for exploratory spatial data analysis (ESDA) on lattice data (see note below). It is intended to provide a user friendly and graphical interface to methods of descriptive spatial data analysis, such as autocorrelation statistics and indicators of spatial outliers. The design of GeoDa consists of an interactive environment that combines maps with statistical graphics, using the technology of dynamically linked windows.

Note: Lattice data are discrete spatial units that are not a sample from an underlying continuous surface
(geostatistical data) or locations of events (point patterns). GeoDa currently does not yet contain specific techniques to analyze geostatistical or point pattern data. Source: Anselin, Luc, 2003. GeoDa 0.9 User’s Guide, http://geodacenter.org/downloads/pdfs/geoda093.pdf, accessed June 2010.
",97,Test
2093,1951,GeoDa,,,"GeoDa is a collection of software tools available from http://geodacenter.asu.edu/ designed to implement techniques for exploratory spatial data analysis (ESDA) on lattice data (see note below). It is intended to provide a user friendly and graphical interface to methods of descriptive spatial data analysis, such as autocorrelation statistics and indicators of spatial outliers. The design of GeoDa consists of an interactive environment that combines maps with statistical graphics, using the technology of dynamically linked windows. Note: Lattice data are discrete spatial units that are not a sample from an underlying continuous surface (geostatistical data) or locations of events (point patterns). GeoDa currently does not yet contain specific techniques to analyze geostatistical or point pattern data. (Anselin 2003) ",122,Geographic Approaches to Global Health
1952,,Geographic coordinate system (GCS),,,"A coordinate system based on a three-dimensional, spherical surface. As a result of being defined in relation to the more natural, three-dimensional surface of a globe, a GCS is considered to be “unprojected” rather than “projected.” For an explanation of geographic versus projected coordinate systems, see Session 3.",97,Test
2094,1952,Geographic coordinate system (GCS),,,"A coordinate system based on a three-dimensional, spherical surface. As a result of being defined in relation to the more natural, three-dimensional surface of a globe, a GCS is considered to be “unprojected” rather than “projected.” For an explanation of geographic versus projected coordinate systems, see Session 3, pages 2 and 3.",122,Geographic Approaches to Global Health
1953,,Geographic data,,,"Information describing the location and attributes of things, including their shapes and representation. Source: http://resources.arcgis.com/glossary/term/520, May 2010.",97,Test
2095,1953,Geographic data,,,"Information describing the location and attributes of things, including their shapes and representation. (ESRI [ArcGIS documentation])",122,Geographic Approaches to Global Health
1758,,Geographic identifier,,,"A geographic identifier is any piece of information that indicates the geographic or spatial location of features on the landscape, such as latitude and longitude, street address, or administrative division name (i.e., province, district, county, etc.). Common geographic identifiers play a critical role in joining data from different sources.",97,Test
2096,1758,Geographic identifier,,,"A geographic identifier is any piece of information that indicates the geographic or spatial location of features on the landscape, such as latitude and longitude, street address, P-code (place code) from the United Nations Office for the Coordination of Humanitarian Affairs (UN OCHA), or administrative division name (i.e., province, district, county, etc.). Common geographic identifiers play a critical role in joining data from different sources.",122,Geographic Approaches to Global Health
1752,,Geographic information system(s) (GIS),,,"A computer-based system used to collect, store, manage, analyze, display, and distribute geographic data (points, lines, and polygons referenced to the surface of the Earth) and their attributes (e.g., unique identifier, name, type, date collected, etc.). Source: MEASURE Evaluation, May 2010.",97,Test
2097,1752,Geographic information system(s) (GIS),,,"A computer-based system used to collect, store, manage, analyze, display, and distribute geographic data (points, lines, and polygons referenced to the surface of the Earth) and their attributes (e.g., unique identifier, name, type, date collected, etc.). (MEASURE Evaluation)",122,Geographic Approaches to Global Health
1753,,Geography,,,"Geography is the study of patterns on the surface of Earth, and the causes of those patterns. The patterns can be the result of natural forces or human activity. This glossary entry is a synthesis of definitions from several sources, as many definitions of geography emphasize sub-fields of geography, and can be too narrow in scope. Source: MEASURE Evaluation.",97,Test
2098,1753,Geography,,,"Geography is the study of patterns on the surface of Earth, and the causes of those patterns. The patterns can be the result of natural forces or human activity. This glossary entry is a synthesis of definitions from several sources, as many definitions of geography emphasize sub-fields of geography, and can be too narrow in scope. (MEASURE Evaluation)",122,Geographic Approaches to Global Health
1954,,Georeferenced,,,Assigned to a geographic location.,97,Test
2099,1954,Georeferenced,,,Assigned to a geographic location.,122,Geographic Approaches to Global Health
48,,Global Alliance for TB Drug Development,,,"A not-for-profit enterprise, based in New York, Brussels, and Cape Town. The Global Alliance works with partners, stakeholders, and other allies worldwide. Its mission is to ensure equitable access to a faster tuberculosis cure that will advance global health and prosperity.",N	N,
911,,Global Alliance for TB Drug Development,,,"A not-for-profit enterprise, based in New York, Brussels, and Cape Town. The Global Alliance works with partners, stakeholders, and other allies worldwide. Its mission is to ensure equitable access to a faster tuberculosis cure that will advance global health and prosperity.",90,Tuberculosis Basics (Updated)
970,911,Global Alliance for TB Drug Development,,,"A not-for-profit enterprise, based in New York, Brussels, and Cape Town. The Global Alliance works with partners, stakeholders, and other allies worldwide. Its mission is to ensure equitable access to a faster tuberculosis cure that will advance global health and prosperity.",91,Tuberculosis – Advanced Concepts
20,,"Global Fund to Fight AIDS, TB and Malaria (GFATM)",,,"A public-private partnership, which is aimed at attracting and disbursing additional resources to fight the three devastating epidemics that are responsible for the majority of preventable deaths in the developing world.",N	N,
912,1955,"Global Fund to Fight AIDS, TB and Malaria (GFATM)",,,"A public-private partnership, which is aimed at attracting and disbursing additional resources to fight the three devastating epidemics that are responsible for the majority of preventable deaths in the developing world.",90,Tuberculosis Basics (Updated)
971,1955,"Global Fund to Fight AIDS, TB and Malaria (GFATM)",,,"A public-private partnership, which is aimed at attracting and disbursing additional resources to fight the three devastating epidemics that are responsible for the majority of preventable deaths in the developing world.",91,Tuberculosis – Advanced Concepts
1955,,"Global Fund to Fights AIDS, Tuberculosis and Malaria (Global Fund)",,,"An international financing institution that invests the world’s money to save lives. To date, it has committed US$ 19.3 billion in 144 countries to support large-scale prevention, treatment and care programs against the three diseases. Source: http://www.theglobalfund.org/en/, accessed June 2010.",97,Test
2100,1955,"Global Fund to Fights AIDS, Tuberculosis and Malaria (Global Fund)",,,"An international financing institution that invests the world’s money to save lives. To date, it has committed US$ 19.3 billion in 144 countries to support large-scale prevention, treatment and care programs against the three diseases. (The Global Fund)",122,Geographic Approaches to Global Health
1456,,Global Positioning System (GPS),,GPS DHS,A global positioning system is a space-based global navigation satellite system.  It provides positioning information to users who have an unobstructed view of four or more GPS satellites.  The DHS uses GPS to identify the latitude and longitude of survey clusters.,109,Demographic and Health Surveys: Data Use
1754,2101,Global positioning system (GPS),,,"Satellite-based system originally created by the United States Department of Defense to provide accurate data on position, velocity, and time to both military and civilian users. Coordinates are generally given in digital degrees relative to the equator and prime meridian.",97,Test
2101,,Global positioning system (GPS),,,"Satellite-based system originally created by the United States Department of Defense to provide accurate data on position, velocity, and time to both military and civilian users. Coordinates are generally given in digital degrees relative to the equator and prime meridian.",122,Geographic Approaches to Global Health
21,,Global TB Drug Facility (GDF),,,"A mechanism developed by the Stop TB Partnership to expand access to, and availability of, high quality TB drugs to facilitate DOTS expansion. Established in 2001, the GDF is housed in WHO headquarters in Geneva and managed by a small team in the Stop TB Partnership secretariat. It aims to provide TB drugs to treat up to 10 million patients, and to help countries reach the WHO global control targets by 2005.",N	N,
913,,Global TB Drug Facility (GDF),,,"A mechanism developed by the Stop TB Partnership to expand access to, and availability of, high quality TB drugs to facilitate DOTS expansion. Established in 2001, the GDF is housed in World Health Organization (WHO) headquarters in Geneva and managed by a small team in the Stop TB Partnership secretariat. It aims to provide TB drugs to treat up to ten million patients, and to help countries reach the WHO global control targets by 2005.",90,Tuberculosis Basics (Updated)
972,913,Global TB Drug Facility (GDF),,,"A mechanism developed by the Stop TB Partnership to expand access to, and availability of, high quality TB drugs to facilitate DOTS expansion. Established in 2001, the GDF is housed in WHO headquarters in Geneva and managed by a small team in the Stop TB Partnership secretariat. It aims to provide TB drugs to treat up to 10 million patients, and to help countries reach WHO global control targets.",91,Tuberculosis – Advanced Concepts
196,,Goal,,,"A broad statement of a desired, long-term outcome of a program. Goals express general program intentions and help guide a program's development. Each goal has a set of related, more specific objectives that, if met, will collectively permit program staff to reach the stated goal.",28,M&E Fundamentals
2447,196,Goal,,,"General statement that describes the result hoped for of a program (e.g., reduction of HIV incidence). Goals are achieved over the long term and through the combined efforts of multiple programs.",110,Social and Behavior Change Communication
708,767,Gonorrhea,,,A contagious inflammation of the genital mucous membrane caused by the gonococcus.,80,Antimicrobial Resistance (Part 1)
767,,Gonorrhea,,,A sexually transmitted infection (STI) caused by a bacterium. If not treated it can cause infertility.,71,Hormonal Methods of Contraception
113,,Goods,,,"Used interchangeably with ""stock,"" ""commodities,"" and other terms in the course to refer to all the items that flow through a logistics system.",9,Logistics for Health Commodities
3064,113,Goods,,,"Used interchangeably with ""stock,"" ""commodities,"" and other terms in the course to refer to all the items that flow through a logistics system.",145,Logistics Revision
1956,,Google Earth,,,"A virtual globe from Google (www.google.com). It has the highest user base and satellite imagery library currently available, and can be downloaded from http://earth.google.com. For more information, see Session 4.",97,Test
2102,1956,Google Earth,,,"A virtual globe from Google (www.google.com). It has the highest user base and satellite imagery library currently available, and can be downloaded from http://earth.google.com. For more information, see Session 4, page 2.",122,Geographic Approaches to Global Health
1152,,Gravida,,,A pregnant women. Used in combination with a number to indicate the number of pregnancies a woman has had.,87,Malaria in Pregnancy
2764,1152,Gravida,,,A pregnant women. Used in combination with a number to indicate the number of pregnancies a woman has had.,140,Malaria in Pregnancy (Updated)
1778,,Gravidity,,,Gravidity is the number of times a woman has been pregnant.,N	N,
1779,,Gravidity,,,Gravidity is the number of times a woman has been pregnant.,N	N,
49,,Green Light Committee (GLC),,,"A committee established by the DOTS-Plus Working Group to review applications from potential DOTS-Plus pilot projects to determine whether projects meet criteria for receiving funding, to ensure programmatic success, and to limit the possibility of creating drug resistance to second-line TB drugs - which are the last line of defense against TB.",N	N,
914,,Green Light Committee (GLC),,Green Light Committee (GLC) for DOTS-Plus Working Group,"A committee established by the DOTS-Plus Working Group to review applications from potential DOTS-Plus pilot projects to determine whether projects meet criteria for receiving funding, to ensure programmatic success, and to limit the possibility of creating drug resistance to second-line TB drugs – which are the last line of defense against TB.",90,Tuberculosis Basics (Updated)
973,,Green Light Committee (GLC),,Green Light Committee (GLC) for MDR-TB Working Group,"A committee established by the MDR-TB Working Group to review applications from potential MDR-TB pilot projects. The GLC determines whether projects meet criteria for receiving funding, helps to ensure programmatic success, and thereby to limit the possibility of creating drug resistance to second-line TB drugs - which are the last line of defense against TB.",91,Tuberculosis – Advanced Concepts
1957,,Ground truth,,,"Information about a feature on the Earth’s surface that is collected in the field. In remote sensing, the process of acquiring ground truth data is referred to as “ground truthing.”",97,Test
1958,,Ground truth,,,"Information about a feature on the Earth’s surface that is collected in the field. In remote sensing, the process of acquiring ground truth data is referred to as “ground truthing.”",N	N,
305,,Health management and support workers,,,"People engaged in actions related to health who ARE NOT engaged in the direct provision of services (e.g., hospital accountants, administrative professionals, support staff, craft and trade workers",44,Human Resources for Health
1158,305,Health management and support workers,,,"People engaged in actions related to health who ARE NOT engaged in the direct provision of services (e.g., hospital accountants, administrative professionals, support staff, craft and trade workers",103,Human Resources for Health (HRH) Basics 
1755,,Health management information system(s) (HMIS),,,"A planned system of collecting, processing, storing, disseminating, and using health-related information to carry out functions of management. It consists of people, tools (paper-based and electronic) and procedures to gather, sort, and distribute timely, accurate information to decision-makers. Source: Adapted from Kotler, Phillip and Keller, Kevin Lane; Marketing Management, Pearson Education, 12 Ed, 2006.",97,Test
2104,1775,Health management information system(s) (HMIS),,,"A planned system of collecting, processing, storing, disseminating, and using health-related information to carry out functions of management. It consists of people, tools (paper-based and electronic) and procedures to gather, sort, and distribute timely, accurate information to decision-makers. (Kotler and Keller 2006)",122,Geographic Approaches to Global Health
304,,Health service providers,,,"People who are engaged in direct provision of services (e.g., doctors, nurses, midwives, medical officers)",44,Human Resources for Health
1159,304,Health service providers,,,"People who are engaged in direct provision of services (e.g., doctors, nurses, midwives, medical officers)",103,Human Resources for Health (HRH) Basics 
2755,,Health voucher schemes,,,"Health voucher schemes are arrangements in which vouchers distributed by accredited health facilities entitle clients to services at any contracted facility of their choice.The vouchers can be free or heavily subsidized, with the client paying a small fee for the voucher. The provider is reimbursed for the cost of provision, plus a reasonable profit, after delivery has been verified. Contracted (participating) facilities can be in the private or the public sectors.  (Source: Morgan, 2011.)
",121,LA/PMs - A Smart FP/RH Program Investment
2915,,Health voucher schemes,,,"Health voucher schemes are arrangements in which vouchers distributed by accredited health facilities entitle clients to services at any contracted facility of their choice.The vouchers can be free or heavily subsidized, with the client paying a small fee for the voucher. The provider is reimbursed for the cost of provision, plus a reasonable profit, after delivery has been verified. Contracted (participating) facilities can be in the private or the public sectors.  (Source: Morgan, 2011.)
",N	N,
303,,Health workforce,,,all people primarily engaged in actions with the primary intent of enhancing health,44,Human Resources for Health
1160,303,Health workforce,,,All people primarily engaged in actions with the primary intent of enhancing health,103,Human Resources for Health (HRH) Basics 
500,,Helminth,,,A parasitic worm,53,Maternal Survival – Programming Issues
2616,500,Helminth,,,"A helminth is a worm, especially a parasitic roundworm or tapeworm. ",108,Nutrition (An Introduction)
2630,500,Helminth,,,A parasitic worm,137,Maternal Survival - Programming Issues (Updated)
1187,,Hematoma,,,A localized swelling filled with blood,104,Male Circumcision for HIV Prevention: Field Test
2215,,Hematoma,,,A localized swelling filled with blood,N	N,
2244,1187,Hematoma,,,A localized swelling filled with blood,130,Male Circumcision: Policy & Programming
501,,Hemorrhage,,,Bleeding,53,Maternal Survival – Programming Issues
1030,501,Hemorrhage,,,Bleeding,87,Malaria in Pregnancy
1072,501,Hemorrhage,,,Bleeding,81,Female Genital Mutilation/Cutting (FGM/C)
1095,501,Hemorrhage,,,Excessive bleeding,98,Postabortion Care (PAC)
1186,501,Hemorrhage,,,Bleeding,104,Male Circumcision for HIV Prevention: Field Test
2216,,Hemorrhage,,,Bleeding,N	N,
2245,501,Hemorrhage,,,Bleeding,130,Male Circumcision: Policy & Programming
2631,501,Hemorrhage,,,Bleeding,137,Maternal Survival - Programming Issues (Updated)
2765,501,Hemorrhage,,,Bleeding,140,Malaria in Pregnancy (Updated)
1260,,Hemostasis,,,Stopping the flow of blood,104,Male Circumcision for HIV Prevention: Field Test
2217,,Hemostasis,,,Stopping the flow of blood,N	N,
2246,1260,Hemostasis,,,Stopping the flow of blood,130,Male Circumcision: Policy & Programming
82,,Hepatitis,,,An infection that causes inflammation of the liver,10,Antenatal Care
836,,Hepatitis,,,An infection that causes inflammation of the liver,N	N,
872,,Hepatitis,,,An infection that causes inflammation of the liver,N	N,
1492,82,Hepatitis,,,An infection that causes inflammation of the liver,113,Antenatal COPY
2185,,Hepatitis,,,An infection that causes inflammation of the liver,N	N,
1959,,Histogram,,,"A histogram is a graphical summary showing the count of data points falling in various ranges. It provides a rough approximation of the frequency distribution of the data. Source: http://www.netmba.com/statistics/histogram/, accessed June 2010.",97,Test
2105,1959,Histogram,,,A histogram is a graphical summary showing the count of data points falling in various ranges. It provides a rough approximation of the frequency distribution of the data. (NETMBA),122,Geographic Approaches to Global Health
490,,HIV,,,The human immunodeficiency virus that causes AIDS. In this document HIV is HIV-1 because mother-to-child transmission of HIV-2 is rare.,62,Mother-to-Child Transmission of HIV
1586,490,HIV,,,Acronym for ‘Human Immunodeficiency Virus.’,118,HIV/AIDS Surveillance
1434,,HIV incidence,,,"The number of people contracting HIV in a year per 1,000 people.  Incidence measures new cases of HIV infection in a given year. ",109,Demographic and Health Surveys: Data Use
2959,1431,HIV incidence,,,"""HIV incidence (sometimes referred to as cumulative incidence) is the number of new cases arising in a given period in a specified population. UNAIDS normally refers to the number of adults aged 15-49 years or children (aged 0–14 years) who have become infected during the past year. In contrast, HIV prevalence refers to the number of infections at a particular point in time, no matter when infection occurred, and is expressed as a percentage of the population (like a camera snapshot). In specific observational studies and prevention trials, the term ‘incidence rate’ is used to describe incidence per hundred person years of observation"" (UNAIDS, October 2011, Terminology Guidelines).",141,"M&E Guidelines for SWs, MSM, & TG-National Level"
1435,,HIV prevalence,,,"The percentage of people in a population who are infected with HIV.  Prevalence measures both new and ongoing cases of HIV infection, while incidence measures only new cases of HIV infection. ",109,Demographic and Health Surveys: Data Use
2958,1435,HIV prevalence,,,"""Usually given as a percentage, HIV prevalence quantifies the proportion of individuals in a
population who are living with HIV at a specific point in time. UNAIDS normally reports HIV
prevalence among adults aged 15–49 years. The term ‘prevalence rates’ is not used. ‘Prevalence’ is sufficient, e.g. 'the Caribbean region, with estimated adult HIV prevalence of 2.3% in 2003, is an area to focus on in the future'. HIV prevalence can also refer to the number of people living with HIV, as in 'by December 2009 an estimated 33.4 million people were living with HIV worldwide'"" (UNAIDS, October 2011, Terminology Guidelines).",141,"M&E Guidelines for SWs, MSM, & TG-National Level"
494,1591,HIV-negative,,,Refers to a person who has had an HIV test but who has tested negative ,62,Mother-to-Child Transmission of HIV
1591,,HIV-negative,,,"Showing no indication of infection with HIV (for example, absence of antibodies against HIV) based on a blood or tissue test.",118,HIV/AIDS Surveillance
493,1592,HIV-positive,,,Refers to  a person who has tested positive in an HIV test ,62,Mother-to-Child Transmission of HIV
1592,,HIV-positive,,,"Showing indications of infection with HIV (for example, presence of antibodies against HIV) based on a blood or tissue test ",118,HIV/AIDS Surveillance
63,,HIV/AIDS (Human Immunodeficiency Virus/Acquired Immune Deficiency Syndrome),,,"HIV is the agent that causes AIDS. There are two variants of HIV: HIV-1 and HIV-2. HIV-1 is by far the most common worldwide. A person who has AIDS may be infected by many opportunistic organisms, including TB.",N	N,
915,,HIV/AIDS (Human immunodeficiency virus/Acquired immune deficiency syndrome),,,"HIV is the agent that causes AIDS. There are two variants of HIV: HIV-1 and HIV-2. HIV-1 is by far the most common worldwide. A person who has AIDS may be infected by many opportunistic organisms, including TB.",90,Tuberculosis Basics (Updated)
974,915,HIV/AIDS (Human Immunodeficiency Virus/Acquired Immune Deficiency Syndrome),,,"HIV is the agent that causes AIDS. There are two variants of HIV: HIV-1 and HIV-2. HIV-1 is by far the most common worldwide. A person who has AIDS may be infected by many opportunistic organisms, including TB.",91,Tuberculosis – Advanced Concepts
2716,,Holistic,,,Characterized by comprehension of the parts of something as intimately interconnected and explicable only by reference to the whole.,121,LA/PMs - A Smart FP/RH Program Investment
2916,,Holistic,,,Characterized by comprehension of the parts of something as intimately interconnected and explicable only by reference to the whole.,N	N,
355,1161,HRH,,,human resources for health,44,Human Resources for Health
1161,,HRH,,,Human resources for health,103,Human Resources for Health (HRH) Basics 
1182,,HRH Action Framework (HAF),,,sdfsdfasdfsd,N	N,
1183,,HRH Action Framework (HAF),,,"A framework designed to assist governments and health managers to develop and implement strategies to achieve an effective and sustainable health workforce. By using a comprehensive approach, the Framework helps address staff shortages, uneven distribution of staff, gaps in skills and competencies, low retention and poor motivation, among other challenges.

The Framework diagram includes six clickable action fields (HR Management Systems, Leadership, Partnership, Finance, Education, and Policy) and four clickable phases (Situational Analysis, Planning, Implementation, and Monitoring & Evaluation). To ensure a comprehensive approach to an HRH challenge, users can visit all of the action fields and phases.",103,Human Resources for Health (HRH) Basics 
1384,,HSV-2,,,The type of herpes virus that causes most cases of genital herpes,104,Male Circumcision for HIV Prevention: Field Test
2218,,HSV-2,,,The type of herpes virus that causes most cases of genital herpes,N	N,
2247,1384,HSV-2,,,The type of herpes virus that causes most cases of genital herpes,130,Male Circumcision: Policy & Programming
740,1259,Human papillomavirus (HPV),,,An infection that can be sexually transmitted and is often asymptomatic. There are low-risk and high-risk types of HPV.,70,Cervical Cancer Prevention (Low-Resource Settings)
1259,,Human papillomavirus (HPV),,,"Genital HPV is the most common sexually transmitted infection. It is often asymptomatic. There are low-risk and high-risk types of HPV. Some types cause genital warts, and some give rise to cervical cancer. Types 16 and 18 account for 70% of all cervical cancer.
",104,Male Circumcision for HIV Prevention: Field Test
2219,,Human papillomavirus (HPV),,,"Genital HPV is the most common sexually transmitted infection. It is often asymptomatic. There are low-risk and high-risk types of HPV. Some types cause genital warts, and some give rise to cervical cancer. Types 16 and 18 account for 70% of all cervical cancer.
",N	N,
2248,1259,Human papillomavirus (HPV),,,"Genital HPV is the most common sexually transmitted infection. It is often asymptomatic. There are low-risk and high-risk types of HPV. Some types cause genital warts, and some give rise to cervical cancer. Types 16 and 18 account for 70% of all cervical cancer.
",130,Male Circumcision: Policy & Programming
1886,,Human resource management system,,,"Human resource management is an integrated system of procedures, policies, and practices that defines recruitment/hiring, performance appraisal, retention, benefits, compensation and training and development.

Effectively managing human resources begins with workforce planning. For single practitioner businesses - such as a midwife practitioner or a one-person kiosk business selling family planning products - this is not an issue until the business grows enough for more than one employee. For other business models with more than one employee workforce planning needs careful attention - otherwise a business can be over or under staffed, resulting in inefficient staffing and paying too much for salary and benefits.  
",123,Healthy Businesses
1887,,Human Resource Management System,,,"Human Resource Management is an integrated system of procedures, policies, and practices that defines recruitment/hiring, performance appraisal, retention, benefits, compensation and training and development.

",N	N,
398,,Human Resources for Health,,,"Persons, skilled or unskilled, working at any level of the health sector, including those working in provision of services, planning, logistics, administrative support, or management
",44,Human Resources for Health
1162,398,Human Resources for Health,,,"Persons, skilled or unskilled, working at any level of the health sector, including those working in provision of services, planning, logistics, administrative support, or management ",103,Human Resources for Health (HRH) Basics 
320,,Human resources management,,,"Process of creating an adequate organizational environment and ensuring that the personnel perform adequately using strategies to identify and achieve the optimal number, mix and distribution of personnel in a cost-effective manner (Martineau, Martinez, 1997) 
(Source: World Bank)",44,Human Resources for Health
321,320,Human resources management,,,"Process of creating an adequate organizational environment and ensuring that the personnel perform adequately using strategies to identify and achieve the optimal number, mix and distribution of personnel in a cost-effective manner (Martineau, Martinez, 1997) 

(Source: World Bank)",44,Human Resources for Health
1378,,Hyperendemic,,,"Incidence (e.g., of a human disease) is high and continued ",104,Male Circumcision for HIV Prevention: Field Test
2220,,Hyperendemic,,,"Incidence (e.g., of a human disease) is high and continued ",N	N,
2249,1378,Hyperendemic,,,"Incidence (e.g., of a human disease) is high and continued ",130,Male Circumcision: Policy & Programming
232,,Hypertensive disorders,,,"These include pregnancy-induced hypertension and preeclampsia, a condition in which a combination of increased blood pressure, edema, or swelling, and protein in the urine may be present.   These disorders can lead to uterine bleeding or hemorrhage. They can also lead to eclampsia, with symptoms such as coma and convulsions.",32,Youth Reproductive Health
1216,232,Hypertensive disorders,,,"These include pregnancy-induced hypertension and preeclampsia, a condition in which a combination of increased blood pressure, edema, or swelling, and protein in the urine may be present.   These disorders can lead to uterine bleeding or hemorrhage. They can also lead to eclampsia, with symptoms such as coma and convulsions.",107,Youth Reproductive Health and HIV/AIDS
368,2675,Hypnozoite,,,"A parasitic form that becomes dormant in the liver and can later become activated and released into the blood, causing a clinical relapse",45,Malaria
2675,,Hypnozoite,,,"A parasitic form that becomes dormant in the liver and can later become activated and released into the blood, causing a clinical relapse",138,Malaria (Updated)
690,1106,Hypoglycemia,,,Low blood sugar,61,Emergency Obstetric and Newborn Care
